landmark_name,alias_1,alias_2,city,district,state,pincode,lat,lng,landmark_type,ambiguity_note
Hanuman Mandir,Bajrang Bali Mandir,Sankat Mochan,Patna,Patna,Bihar,800001,25.5941,85.1376,temple,Multiple Hanuman Mandirs in Patna — this is near GPO
Hanuman Mandir,Hanuman Temple,Bajrangbali Temple,Muzaffarpur,Muzaffarpur,Bihar,842001,26.1197,85.3910,temple,Different from Patna — near Bus Stand Muzaffarpur
Hanuman Mandir,Panchmukhi Hanuman,Hanuman Ji Mandir,Darbhanga,Darbhanga,Bihar,846004,26.1542,85.8918,temple,Near Railway Station Darbhanga — 3rd Hanuman Mandir in Bihar
Hanuman Mandir,Balaji Mandir,Maruti Mandir,Gorakhpur,Gorakhpur,Uttar Pradesh,273001,26.7606,83.3732,temple,Gorakhpur has 4 temples locally called Hanuman Mandir
Hanuman Mandir,Sankat Mochan Mandir,,Varanasi,Varanasi,Uttar Pradesh,221001,25.3176,82.9739,temple,Famous one near Assi Ghat — but 6 others exist in city
Shiv Mandir,Shiva Temple,Mahadev Mandir,Ara,Bhojpur,Bihar,802301,25.5565,84.6637,temple,Near Civil Court Ara — not the one near station
Shiv Mandir,Bholenath Mandir,Shivala,Chapra,Saran,Bihar,841301,25.7820,84.7464,temple,Chapra has 3 Shiv Mandirs in 2km radius
Kirana Store,Ramu Bhaiya Ki Dukan,General Store,Vaishali,Vaishali,Bihar,844111,25.6928,85.1369,shop,Generic name — 50+ kirana stores in Vaishali town
Kirana Store,Sharma General Store,Ratan Medicos,Sitamarhi,Sitamarhi,Bihar,843302,26.5920,85.4900,shop,Asked to clarify — which kirana near which landmark
Panchayat Bhawan,Block Office,Gram Panchayat,Muzaffarpur,Muzaffarpur,Bihar,842002,26.1180,85.3880,government,Each block has own Panchayat Bhawan — need ward/village name
Panchayat Bhawan,Mukhiya Office,Panchayat Karyalay,Darbhanga,Darbhanga,Bihar,846001,26.1600,85.8800,government,District has 18 panchayat bhawans — pincode alone insufficient
Bus Stand,BSRTC Bus Station,Old Bus Adda,Muzaffarpur,Muzaffarpur,Bihar,842001,26.1220,85.3630,transport,Old vs New Bus Stand — 3km apart — need clarification
